Вид ПУ	Заводской (серийный) номер ПУ	Марка ПУ	Модель ПУ	Номер прибора учета в ГИС ЖКХ	Организация, у которой прибор учета находится на праве собственности или на ином законном основании	Тип дома	Сведения о доме из ФИАС								Уникальный номер дома	Сведения о помещении			Сведения о комнате		ИЖКУ	Лицевой счет	Единый лицевой счет	Наличие возможности дистанционного снятия показаний	Информация о наличии возможности дистанционноо снятия показаний ПУ указанием наименования установленной системы	Признак обязательности поверки	Дата установки	Дата ввода в эксплуатацию	Дата первичной поверки	Дата опломбирования ПУ заводом-изготовителем	Межповерочный интервал	Плановая дата поверки	Наличие датчиков температуры	Информация о наличии датчиков температуры с указанием их местоположения на узле учета 	Наличие датчиков давления	Информация о наличии датчиков давления с указанием их местоположения на узле учета	Статус ПУ	Объем ресурса(ов) определяется с помощью нескольких приборов учета	Место установки текущего ПУ	Номер ПУ в ГИС ЖКХ, с которым установлена связь текущего ПУ	Вид коммунального ресурса	Вид ПУ по количеству тарифов	Базовое показание (Т1)	Базовое показание (Т2)	Базовое показание (Т3)	Единица измерения показания	Коэффициент трансформации
							Формализованное наименование (ADDROBJ.FORMALNAME)	Номер дома (HOUSE.HOUSENUM)	Номер корпуса (HOUSE.BUILDNUM)	Номер строения (HOUSE.STRUCNUM)	Признак владения (HOUSE.ESTSTATUS)	Признак строения (HOUSE.STRSTATUS)	Глобальный уникальный идентификатор адресного объекта ФИАС/ГИС ЖКХ (ADDROBJ.AOGUID)	Глобальный уникальный идентификатор дома по ФИАС/Идентификационный код дома в ГИС ЖКХ (HOUSE.HOUSEGUID)		Категория помещения	Номер помещения	Уникальный номер помещения	Номер комнаты	Уникальный номер комнаты																											
Индивидуальный	1185089	Метер	СВУ-15	8yOy01921600118	"ТСН  ""СКАНДИНАВСКИЙ 2Б"""	Многоквартирный	Карелия Респ, г. Петрозаводск, проезд. Скандинавский, д. 2, литер Б	2		Б	Дом	Литер	f09afe5e-8f91-4113-8803-8653562609f5	ac9f7d99-5ead-4bd7-af2d-b177fba6078e	yOy01921	Жилое	1	9yOy0192100001			90ЕР889689-02	999351759	90ЕР889689	нет		да		23.01.2015			6		нет		нет		Активный	нет			Горячая вода		5			Кубический метр	
Индивидуальный	33467615	ZENNER	Multidata s1-1	3yOy01921600121	"ТСН  ""СКАНДИНАВСКИЙ 2Б"""	Многоквартирный	Карелия Респ, г. Петрозаводск, проезд. Скандинавский, д. 2, литер Б	2		Б	Дом	Литер	f09afe5e-8f91-4113-8803-8653562609f5	ac9f7d99-5ead-4bd7-af2d-b177fba6078e	yOy01921	Жилое	60	9yOy0192100002			20ЕР889909-01	999351820	20ЕР889909	нет		да		16.01.2015			4		да	на подающей трубе и обратке	нет		Активный	нет			Тепловая энергия		0.812			Гигакалория	
Индивидуальный	1185081	Метер	СВУ-15	4yOy01921600117	"ТСН  ""СКАНДИНАВСКИЙ 2Б"""	Многоквартирный	Карелия Респ, г. Петрозаводск, проезд. Скандинавский, д. 2, литер Б	2		Б	Дом	Литер	f09afe5e-8f91-4113-8803-8653562609f5	ac9f7d99-5ead-4bd7-af2d-b177fba6078e	yOy01921	Жилое	1	9yOy0192100001			90ЕР889689-02	999351759	90ЕР889689	нет		да		23.01.2015			6		нет		нет		Активный	нет			Холодная вода		2			Кубический метр	
Индивидуальный	1186898	Метер	СВУ-15	9yOy01921600120	"ТСН  ""СКАНДИНАВСКИЙ 2Б"""	Многоквартирный	Карелия Респ, г. Петрозаводск, проезд. Скандинавский, д. 2, литер Б	2		Б	Дом	Литер	f09afe5e-8f91-4113-8803-8653562609f5	ac9f7d99-5ead-4bd7-af2d-b177fba6078e	yOy01921	Жилое	60	9yOy0192100002			20ЕР889909-01	999351820	20ЕР889909	нет		да		16.01.2015			6		нет		нет		Активный	нет			Холодная вода		0			Кубический метр	
Индивидуальный	1187019	Метер	СВУ-15	2yOy01921600119	"ТСН  ""СКАНДИНАВСКИЙ 2Б"""	Многоквартирный	Карелия Респ, г. Петрозаводск, проезд. Скандинавский, д. 2, литер Б	2		Б	Дом	Литер	f09afe5e-8f91-4113-8803-8653562609f5	ac9f7d99-5ead-4bd7-af2d-b177fba6078e	yOy01921	Жилое	60	9yOy0192100002			20ЕР889909-01	999351820	20ЕР889909	нет		да		16.01.2015			6		нет		нет		Активный	нет			Горячая вода		0			Кубический метр	
Индивидуальный	1185083	Метер	СВУ-15	0yOy01921600116	"ТСН  ""СКАНДИНАВСКИЙ 2Б"""	Многоквартирный	Карелия Респ, г. Петрозаводск, проезд. Скандинавский, д. 2, литер Б	2		Б	Дом	Литер	f09afe5e-8f91-4113-8803-8653562609f5	ac9f7d99-5ead-4bd7-af2d-b177fba6078e	yOy01921	Жилое	1	9yOy0192100001			90ЕР889689-02	999351759	90ЕР889689	нет		да		23.01.2015			6		нет		нет		Активный	нет			Горячая вода		6			Кубический метр	
Индивидуальный	33467972	ZENNER	Multidata s1-1	7yOy01921600122	"ТСН  ""СКАНДИНАВСКИЙ 2Б"""	Многоквартирный	Карелия Респ, г. Петрозаводск, проезд. Скандинавский, д. 2, литер Б	2		Б	Дом	Литер	f09afe5e-8f91-4113-8803-8653562609f5	ac9f7d99-5ead-4bd7-af2d-b177fba6078e	yOy01921	Жилое	60	9yOy0192100002			20ЕР889909-01	999351820	20ЕР889909	нет		да		16.01.2015			4		да	на подающей трубе и обратке	нет		Активный	нет			Тепловая энергия		1.627			Гигакалория	
