Квартира	Дата опломбировки		ОТП1							ОТП2							ОТОП3					
		Марка	Модель	Заводской №	Перв. показания	Дата проверки	№ пломбы	Дата след. Проверки	Марка	Модель	Заводской №	Перв. показания	Дата проверки	№ пломбы	Дата след. Проверки	Модель	Марка	Заводской №	Перв. показания	Дата проверки	№ пломбы	Дата след. Проверки
35	04.02.2015	ZENNER	Multidata s1-1	33467958	2.313	02.04.2014	311867	02.04.2018	ZENNER	Multidata s1-1	33467798	1.087	02.04.2014	311867	02.04.2018	ZENNER	Multidata s1-1					
36	22.04.2015	ZENNER	Multidata s1-1	33467954	3.646	02.04.2014	268186	02.04.2018	ZENNER	Multidata s1-1	33467661	2.572	02.04.2014	232240	02.04.2018	ZENNER	Multidata s1-1	33467961	3.969	02.04.2014	232280	
37	16.01.2015	ZENNER	Multidata s1-1	33467660	2.362	02.04.2014	1043267	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
38	06.02.2015	ZENNER	Multidata s1-1	33467933	2.372	02.04.2014	268348	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
39	16.04.2015	ZENNER	Multidata s1-1	33467845	2.022	25.03.2014	232245	25.03.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
40	14.06.2017	ZENNER	Multidata s1-1	33467896	5.1	01.07.2014	339814	01.07.2018	ZENNER	Multidata s1-1	33467831	6.6	01.07.2014	339815	01.07.2018	ZENNER	Multidata s1-1					
41	13.03.2015	ZENNER	Multidata s1-1	33467771	1.974	28.08.2014	268154	28.08.2018	ZENNER	Multidata s1-1	33467776	1.491	28.08.2014	268153	28.08.2018	ZENNER	Multidata s1-1					
42	13.06.2017	ZENNER	Multidata s1-1	33467772	1.6	28.08.2014	339938	28.08.2018	ZENNER	Multidata s1-1	33467775	0.1	28.08.2014	339939	28.08.2018	ZENNER	Multidata s1-1					
43	26.06.2015	ZENNER	Multidata s1-1	33467770		28.08.2014	309064	28.08.2018	ZENNER	Multidata s1-1	8843039252	36.874	28.08.2014	309063	28.08.2018	ZENNER	Multidata s1-1					
44	18.02.2015	ZENNER	Multidata s1-1	67832	2.609	02.04.2014	8444	02.04.2018	ZENNER	Multidata s1-1	67682	1.284	02.04.2014	1776	02.04.2018	ZENNER	Multidata s1-1					
45		ZENNER	Multidata s1-1	33467629				31.12.1903	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
46	19.02.2015	ZENNER	Multidata s1-1	3346735	1.917	02.04.2014	2682215	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
47	13.03.2015	ZENNER	Multidata s1-1	33467644	3.256	02.04.2014	268095	02.04.2018	ZENNER	Multidata s1-1	33467941	0.704	02.04.2014	268040	02.04.2018	ZENNER	Multidata s1-1					
48	06.02.2015	ZENNER	Multidata s1-1	33467838	1.033	02.04.2014	232178	02.04.2018	ZENNER	Multidata s1-1	33467919	0.431	02.04.2014	232179	02.04.2018	ZENNER	Multidata s1-1					
49	13.09.2017	ZENNER	Multidata s1-1	33467914	3.841	02.04.2014	338063	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
50	04.02.2015	ZENNER	Multidata s1-1	33467915	2.419	02.04.2014	1043354	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
51	18.02.2016	ZENNER	Multidata s1-1	33467671	1.667	07.04.2014	177316	07.04.2018	ZENNER	Multidata s1-1	33467947	9.855	02.04.2014	177317	02.04.2018	ZENNER	Multidata s1-1					
52		ZENNER	Multidata s1-1						ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
53	30.12.2014	ZENNER	Multidata s1-1	33467781	1.272	28.08.2014	1043054	28.08.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
54	23.01.2015	ZENNER	Multidata s1-1	33467733	0.938	28.08.2014	1043912	28.08.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
55	16.01.2015	ZENNER	Multidata s1-1	33467801	2.329	02.04.2014	1043223	02.04.2018	ZENNER	Multidata s1-1	33467802	0.601	02.04.2014	1043243	02.04.2018	ZENNER	Multidata s1-1					
56	06.02.2015	ZENNER	Multidata s1-1	33467900	0	02.04.2014	268365	02.04.2018	ZENNER	Multidata s1-1	33467942	0	02.04.2014	268364	02.04.2018	ZENNER	Multidata s1-1					
57	16.06.2015	ZENNER	Multidata s1-1	33467948	3.9	02.04.2014	309152	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
58	16.01.2015	ZENNER	Multidata s1-1	33467796	1.107	02.04.2014	1043284	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
59	11.08.2017	ZENNER	Multidata s1-1	33467604	3.9	02.04.2014	338427	02.04.2018	ZENNER	Multidata s1-1	33467755	1.9	02.04.2014	338428	02.04.2018	ZENNER	Multidata s1-1					
60	16.01.2015	ZENNER	Multidata s1-1	33467972	1.627	02.04.2014	1043208	02.04.2018	ZENNER	Multidata s1-1	33467615	0.812	02.04.2014	1043266	02.04.2018	ZENNER	Multidata s1-1					
61	18.02.2015	ZENNER	Multidata s1-1	67971	1.355	02.04.2014	8313	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
62	05.02.2015	ZENNER	Multidata s1-1	33467701	1.618	02.04.2014	311848	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
63	27.03.2015	ZENNER	Multidata s1-1	33467625	2.749	02.04.2014	232118	02.04.2018	ZENNER	Multidata s1-1	33468002	0.425	02.04.2014	232341	02.04.2018	ZENNER	Multidata s1-1					
64	05.02.2015	ZENNER	Multidata s1-1	33467709	0	02.04.2014	311918	02.04.2018	ZENNER	Multidata s1-1	33467973	0	02.04.2014	311919	02.04.2018	ZENNER	Multidata s1-1					
65	13.03.2015	ZENNER	Multidata s1-1	33467912	2.234	02.04.2014	268254	02.04.2018	ZENNER	Multidata s1-1	33467803	0.657	02.04.2014	268253	02.04.2018	ZENNER	Multidata s1-1					
66	08.06.2017	ZENNER	Multidata s1-1	33467956	14	02.04.2014	39926	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
67	10.04.2015	ZENNER	Multidata s1-1	33467734	2.047	02.04.2014	232284	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
68	18.02.2015	ZENNER	Multidata s1-1	467888	2.786	02.04.2014	8463	02.04.2018	ZENNER	Multidata s1-1	467633	2.019	02.04.2014	464	02.04.2018	ZENNER	Multidata s1-1					
69	23.01.2015	ZENNER	Multidata s1-1	33467876	2.212	02.04.2014	1043304	02.04.2018	ZENNER	Multidata s1-1	33467650	0.83	02.04.2014	1043397	02.04.2018	ZENNER	Multidata s1-1					
70	06.02.2015	ZENNER	Multidata s1-1	33467700	1.666	02.04.2014	268413	02.04.2018	ZENNER	Multidata s1-1	33467705	0.787	02.04.2014	268414	02.04.2018	ZENNER	Multidata s1-1					
71	05.02.2015	ZENNER	Multidata s1-1	33467634	0	02.04.2014	311920	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
72	18.02.2015	ZENNER	Multidata s1-1	67649	2.168	02.04.2014	10120	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
73	21.01.2015	ZENNER	Multidata s1-1	33467707	1.326	02.04.2014	831729	02.04.2018	ZENNER	Multidata s1-1	33467665	1.846	02.04.2014	831728	02.04.2018	ZENNER	Multidata s1-1					
74	04.02.2015	ZENNER	Multidata s1-1	33467655	1.647	02.04.2014	1043676	02.04.2018	ZENNER	Multidata s1-1	33468008	0.66	02.04.2014	1043933	02.04.2018	ZENNER	Multidata s1-1					
75	05.02.2015	ZENNER	Multidata s1-1	33467874	0	02.04.2014	311779	02.04.2018	ZENNER	Multidata s1-1	33467704	0.698	02.04.2014	311780	02.04.2018	ZENNER	Multidata s1-1					
76	04.02.2015	ZENNER	Multidata s1-1	33467981	1.413	02.04.2014	1043962	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
77	05.02.2015	ZENNER	Multidata s1-1	33467877	0	02.04.2014	311870	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
78		ZENNER	Multidata s1-1						ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
79	28.01.2015	ZENNER	Multidata s1-1	33467702	1.304	02.04.2014	1686	02.04.2018	ZENNER	Multidata s1-1	33467875	0.528	02.04.2014	1664	02.04.2018	ZENNER	Multidata s1-1					
80	08.06.2017	ZENNER	Multidata s1-1	33467853	7.621	07.04.2014	339853	07.04.2018	ZENNER	Multidata s1-1	18847039224	4.27	02.04.2017	339854	02.04.2021	ZENNER	Multidata s1-1					
81	06.02.2015	ZENNER	Multidata s1-1	8843039378	0	16.12.2014	268403	16.12.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
82	30.12.2014	ZENNER	Multidata s1-1	33467844	1.402	07.04.2014	1043090	07.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
